document_index,score,lexical_diversity,char_entropy,token_entropy,repetition_penalty,ngram_repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,optional_lm_surprisal,duplicate_cluster_penalty
29,0.7511880607655121,0.6936936936936937,1.0,0.7559530497469378,0.9181818181818182,0.9724770642201835,0.6808510638297872,0.0,0.5859969558599696,1.0,0.9915074309978769,1.0,1.0
30,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,0.9336343628284938,0.8507462686567164,0.9121279009387144,0.7195393437658718,1.0,1.0,1.0,1.0,0.8111111111111111,1.0,1.0,1.0,1.0
32,0.9310946567269668,0.8360655737704918,0.9466412886505742,0.6914148557679012,1.0,1.0,1.0,1.0,0.7888888888888889,1.0,1.0,1.0,1.0
33,0.8078698029543925,0.7976190476190477,0.9502128574311515,0.7398515267895811,0.9879518072289156,1.0,1.0,0.0,0.5930735930735931,1.0,1.0,1.0,1.0
34,0.8925854689555114,0.8356164383561644,0.8993560675149382,0.7219050176228611,1.0,1.0,1.0,0.65,0.784841075794621,1.0,1.0,1.0,1.0
35,0.9019801036781163,0.7027027027027027,0.9490603551259614,0.6908280811546648,0.9452054794520548,0.9722222222222222,1.0,1.0,0.7339901477832512,1.0,1.0,1.0,1.0
36,0.9411848358292294,0.873015873015873,0.9683514741767164,0.713916166028435,1.0,1.0,1.0,1.0,0.8111111111111111,1.0,1.0,1.0,1.0
37,0.6082807062667005,0.1111111111111111,0.7215435602304383,0.1981203125901445,0.11538461538461542,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,0.91817792512211,0.7910447761194029,0.955051672112621,0.7017972262204857,0.9848484848484849,1.0,1.0,1.0,0.7103064066852367,1.0,1.0,1.0,1.0
